,N,NMISS,MODE,FREQ,PERCENT
region,5000.0,0.0,5.0,1027.0,20.54
townsize,4998.0,2.0,1.0,1436.0,28.73
gender,5000.0,0.0,1.0,2518.0,50.36
agecat,5000.0,0.0,4.0,1222.0,24.44
birthmonth,5000,0,September,458,9.16
edcat,5000.0,0.0,2.0,1567.0,31.34
jobcat,5000.0,0.0,2.0,1640.0,32.8
union,5000.0,0.0,0.0,4244.0,84.88
employ,5000.0,0.0,0.0,659.0,13.18
empcat,5000.0,0.0,2.0,1180.0,23.6
retire,5000.0,0.0,0.0,4262.0,85.24
inccat,5000.0,0.0,2.0,1797.0,35.94
default,5000.0,0.0,0.0,3829.0,76.58
jobsat,5000.0,0.0,3.0,1085.0,21.7
marital,5000.0,0.0,0.0,2599.0,51.98
spousedcat,5000.0,0.0,-1.0,2599.0,51.98
homeown,5000.0,0.0,1.0,3148.0,62.96
hometype,5000.0,0.0,1.0,2265.0,45.3
addresscat,5000.0,0.0,3.0,1221.0,24.42
carown,5000.0,0.0,1.0,3704.0,74.08
cartype,5000.0,0.0,0.0,2287.0,45.74
carcatvalue,5000.0,0.0,1.0,2399.0,47.98
carbought,5000.0,0.0,0.0,2901.0,58.02
carbuy,5000.0,0.0,0.0,3195.0,63.9
commute,5000.0,0.0,1.0,2855.0,57.1
commutecat,5000.0,0.0,1.0,2905.0,58.1
commutecar,5000.0,0.0,1.0,3395.0,67.9
commutemotorcycle,5000.0,0.0,0.0,4487.0,89.74
commutecarpool,5000.0,0.0,0.0,3641.0,72.82
commutebus,5000.0,0.0,0.0,2970.0,59.4
commuterail,5000.0,0.0,0.0,3627.0,72.54
commutepublic,5000.0,0.0,0.0,4523.0,90.46
commutebike,5000.0,0.0,0.0,4383.0,87.66
commutewalk,5000.0,0.0,0.0,3081.0,61.62
commutenonmotor,5000.0,0.0,0.0,4708.0,94.16
telecommute,5000.0,0.0,0.0,4060.0,81.2
reason,5000.0,0.0,9.0,4052.0,81.04
polview,5000.0,0.0,4.0,1733.0,34.66
polparty,5000.0,0.0,0.0,3093.0,61.86
polcontrib,5000.0,0.0,0.0,3808.0,76.16
vote,5000.0,0.0,1.0,2590.0,51.8
card,5000.0,0.0,4.0,1344.0,26.88
cardtype,5000.0,0.0,4.0,1260.0,25.2
cardbenefit,5000.0,0.0,3.0,1274.0,25.48
cardfee,5000.0,0.0,0.0,4051.0,81.02
cardtenurecat,5000.0,0.0,5.0,2351.0,47.02
card2,5000.0,0.0,3.0,1384.0,27.68
card2type,5000.0,0.0,4.0,1319.0,26.38
card2benefit,5000.0,0.0,4.0,1294.0,25.88
card2fee,5000.0,0.0,0.0,4064.0,81.28
card2tenurecat,5000.0,0.0,5.0,1923.0,38.46
active,5000.0,0.0,0.0,2670.0,53.4
bfast,5000.0,0.0,3.0,1875.0,37.5
churn,5000.0,0.0,0.0,3734.0,74.68
tollfree,5000.0,0.0,0.0,2622.0,52.44
equip,5000.0,0.0,0.0,3296.0,65.92
callcard,5000.0,0.0,1.0,3581.0,71.62
wireless,5000.0,0.0,0.0,3656.0,73.12
multline,5000.0,0.0,0.0,2558.0,51.16
voice,5000.0,0.0,0.0,3485.0,69.7
pager,5000.0,0.0,0.0,3782.0,75.64
internet,5000.0,0.0,0.0,2498.0,49.96
callid,5000.0,0.0,0.0,2624.0,52.48
callwait,5000.0,0.0,0.0,2605.0,52.1
forward,5000.0,0.0,0.0,2597.0,51.94
confer,5000.0,0.0,0.0,2610.0,52.2
ebill,5000.0,0.0,0.0,3257.0,65.14
owntv,5000.0,0.0,1.0,4915.0,98.3
ownvcr,5000.0,0.0,1.0,4578.0,91.56
owndvd,5000.0,0.0,1.0,4568.0,91.36
owncd,5000.0,0.0,1.0,4664.0,93.28
ownpda,5000.0,0.0,0.0,3995.0,79.9
ownpc,5000.0,0.0,1.0,3164.0,63.28
ownipod,5000.0,0.0,0.0,2604.0,52.08
owngame,5000.0,0.0,0.0,2626.0,52.52
ownfax,5000.0,0.0,0.0,4106.0,82.12
news,5000.0,0.0,0.0,2637.0,52.74
response_01,5000.0,0.0,0.0,4582.0,91.64
response_02,5000.0,0.0,0.0,4351.0,87.02
response_03,5000.0,0.0,0.0,4487.0,89.74
