,0
region,5
townsize,5
gender,2
agecat,5
birthmonth,12
edcat,5
jobcat,6
union,2
employ,52
empcat,5
retire,2
inccat,5
default,2
jobsat,5
marital,2
spousedcat,6
homeown,2
hometype,4
address,57
addresscat,5
cars,9
carown,3
cartype,3
carcatvalue,4
carbought,3
carbuy,2
commute,10
commutecat,5
commutecar,2
commutemotorcycle,2
commutecarpool,2
commutebus,2
commuterail,2
commutepublic,2
commutebike,2
commutewalk,2
commutenonmotor,2
telecommute,2
reason,5
polview,7
polparty,2
polcontrib,2
vote,2
card,5
cardtype,4
cardbenefit,4
cardfee,2
cardtenure,41
cardtenurecat,5
card2,5
card2type,4
card2benefit,4
card2fee,2
card2tenure,31
card2tenurecat,5
active,2
bfast,3
churn,2
tollfree,2
equip,2
callcard,2
wireless,2
multline,2
voice,2
pager,2
internet,5
callid,2
callwait,2
forward,2
confer,2
ebill,2
owntv,2
ownvcr,2
owndvd,2
owncd,2
ownpda,2
ownpc,2
ownipod,2
owngame,2
ownfax,2
news,2
response_01,2
response_02,2
response_03,2
