,Features,VIF Factor
0,Intercept,183.64000878542
1,address_1,1.305767621631264
2,address_15,1.1364520331706398
3,address_22,1.0921910831368573
4,address_28,1.0836370416027372
5,address_3,1.3420751738326568
6,address_32,1.074702016687141
7,address_4,1.374073755868205
8,addresscat_2,2.5683603629062866
9,addresscat_3,2.2219787729529488
10,addresscat_4,1.912997189849006
11,agecat_4,2.5188167620467508
12,agecat_5,3.5243685234363227
13,agecat_6,4.714791664403669
14,bfast_2,2.062678235515245
15,bfast_3,1.4707886062141313
16,callid_1,2.2370779683256803
17,callwait_1,2.178964182564548
18,card2_2,2.1276273713825633
19,card2_3,2.1980415673145925
20,card2_4,2.3320830444480465
21,card2_5,1.4810031634858178
22,card2benefit_3,1.0172977703912103
23,card2tenure_1,3.160102748731635
24,card2tenure_19,1.1053300641920067
25,card2tenure_26,1.070232975426931
26,card2tenure_3,1.4799016553774078
27,card2tenure_4,1.5477988133213754
28,card2tenurecat_2,3.7760048239993687
29,card2tenurecat_4,2.420205376603912
30,card2tenurecat_5,6.854703411331157
31,card_2,1.9972646243671026
32,card_3,1.9861147940146109
33,card_4,2.237355460578615
34,card_5,1.307140941790937
35,cardten,2.2734564433851427
36,cardtenure_1,2.377998698883583
37,cardtenure_15,1.253890571032396
38,cardtenure_29,1.064096122238688
39,cardtenure_31,1.0446835566323094
40,cardtenure_4,1.3266361162681182
41,cardtenurecat_3,2.834007217752066
42,cardtenurecat_4,4.135228662018123
43,cardtenurecat_5,11.586220802558502
44,cars_1,1.0794020218016052
45,carvalue,2.1916220250777525
46,commute_4,1.0872237254635182
47,confer_1,2.275984484973117
48,creddebt,3.4735511717326073
49,ebill_1,1.8552839245652817
50,ed,3.9471000594186325
51,edcat_2,1.292793315719829
52,edcat_4,2.518910800971166
53,edcat_5,2.256610950608522
54,empcat_4,1.6473336079663368
55,empcat_5,2.965400597478635
56,employ_1,1.150601924423593
57,employ_14,1.1847484447051615
58,employ_17,1.1228706656777
59,employ_24,1.0607105715138636
60,employ_26,1.057637589431342
61,employ_32,1.0472265919560317
62,equip_1,3.4992523182529305
63,equipten,3.118321012926173
64,forward_1,2.1683488719987483
65,gender_1,1.0295547624522479
66,homeown_1,2.1952873457309177
67,hometype_2,2.239763392536277
68,hometype_3,1.1295943651746794
69,hourstv,1.3748525291988354
70,inccat_2,1.5716170966482401
71,inccat_3,1.3872170868018576
72,internet_3,1.2606344976304953
73,internet_4,1.4568533867195133
74,jobcat_2,1.4223226103590538
75,jobcat_3,1.1072301368272814
76,jobsat_4,1.1667714187421132
77,jobsat_5,1.2749270614132404
78,lncreddebt,3.685463406039099
79,lnothdebt,4.455797739902275
80,longmon,2.3456459098784164
81,multline_1,1.6708784057726183
82,news_1,1.5449282974498926
83,othdebt,4.260826494065873
84,owncd_1,1.5772445163447426
85,owndvd_1,1.6134754218740432
86,ownfax_1,1.6348941569734745
87,owngame_1,1.5254219786103143
88,ownipod_1,1.4902469058896575
89,ownpc_1,1.671429045603694
90,ownpda_1,1.6392915925202634
91,owntv_1,1.677748446946184
92,ownvcr_1,1.6355156934882655
93,pager_1,2.0744003046719026
94,polcontrib_1,1.0355276007498615
95,polview_6,1.0468824947642488
96,reason_2,1.0327980474513918
97,reason_4,1.0228061209130082
98,region_5,1.0273591436913594
99,response_03_1,1.0455585510744716
100,retire_1,2.5336738180588285
101,spoused,1.4565535448593834
102,spousedcat_1,1.236666858603474
103,spousedcat_4,1.370362141909804
104,tollfree_1,3.0868949253472104
105,tollten,2.803567538675732
106,voice_1,2.0633234744739397
107,vote_1,1.0582992922401886
